Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
atelooo/kitkatAZtec,0,0,0,0,2025-06-02,TypeScript,1
badgooooor/noir-dot-matrix,0,0,0,0,2024-09-16,Solidity,1
cypriansakwa/zk-private-x,0,0,0,0,2025-06-28,Solidity,1
finitology/hardhat-noir-starter,0,0,0,0,2023-10-26,TypeScript,1
GustaveCharles/myTxeIssues,0,0,0,0,2024-10-08,Noir,1
d3mage/Nul,0,0,0,0,2025-06-17,TypeScript,3
amudhan23/zkcp_NoirImp,0,0,0,0,2025-05-14,Solidity,1
piotr-stec/noir-recursive,0,0,0,0,2025-04-23,TypeScript,1
kingw18/ezklaim,0,1,1,7,2024-02-14,Solidity,6
MicrochainLabs/zkTxAuth,0,0,0,0,2025-06-18,TypeScript,1
HxSimo/lucid-noir,0,0,0,0,2025-06-03,Rust,1
carlosb1/zk_docsim,0,0,0,0,2025-07-07,Python,1
youtpout/amm-proof,0,0,0,0,2025-06-22,TypeScript,1
shiyirmb/starknet,0,0,0,0,2025-06-29,Cairo,4
1131764933/noir-zk-x-not-equal-y2,0,0,0,0,2025-06-22,Python,1
jeffierw/scaffold-garaga-zk-demo,0,0,0,0,2025-06-25,Cairo,3
pavlovdog/hardhat-noir-password-wallet,0,0,1,1,2023-01-03,Solidity,1
wjj020/noir_vdf_verify_proof,0,0,0,0,2025-05-10,Noir,1
soliditor413/scaffold-garaga,0,0,0,0,2025-06-19,Cairo,4
michaelelliot/noir-js-testing,0,0,0,0,2025-01-09,TypeScript,1
defi-wonderland/aztec-coin-toss,0,0,0,10,2023-12-21,Rust,4
calvbore/zk-hello-world-noir,0,3,1,1,2025-06-17,TypeScript,1
berkingurcan/EncodeClub-ZK-Bootcamp-Q4,0,0,0,2,2023-10-17,Solidity,1
adachi-440/learn-noir,0,0,0,0,2023-09-09,Solidity,1
Thjarkgh/skirmish,0,0,0,1,2025-04-10,Solidity,2
martonmoro/Zero-Knowledge-Cryptography-Multi-Platform-Implementation,0,0,0,0,2025-06-19,Shell,1
